order,id,job_title,job_openings,average_salary,sub-ba,bachelors,graduate,common_job_titles_1,common_job_titles_2,common_job_titles_3,common_job_titles_4,common_job_titles_5,top_certifications_1,top_certifications_2,top_certifications_3,top_certifications_4,top_certifications_5,top_skills_1,top_skills_2,top_skills_3,top_skills_4,top_skills_5,top_skills_6,top_skills_7,top_skills_8,top_skills_9,top_skills_10,top_skills_add_1,top_skills_add_2,top_skills_add_3,top_skills_add_4,top_skills_add_5,top_skills_add_6,top_skills_add_7,top_skills_add_8,top_skills_add_9,top_skills_add_10
1,f1,Networking,349462,,9,70,21,Network Engineer,Systems Administrator,Network Administrator,Senior Systems Administrator,Machine Learning Engineer,Cisco Certified Network Associate (CCNA),Cisco Certified Network Professional (CCNP),CompTIA Security+,IT Infrastructure Library (ITIL) Certification,Cisco Certified Internetwork Expert (CCIE),System Administration,Linux,Cisco,Network Engineering,VMware,Technical Support,Microsoft Active Directory,Wide Area Network (WAN),Routers,SQL,Information Security,Information Systems,Network Security,Cryptography,Information Assurance,Security Operations,Risk Assessment,Python,Risk Management,Java
2,f2,Software Development,1411985,,4,69,27,Software Developer,Java Developer,Devops Engineer,.Net Developer,Applications Developer,IT Infrastructure Library (ITIL) Certification,CompTIA Security+,Project Management Certification,Certified Information Systems Security Professional (CISSP),ITIL Certification,Java,Software Development,SQL,Software Engineering,JavaScript,Python,Microsoft C#,Linux,Git,C++,Information Systems,Cryptography,Information Assurance,Security Operations,Information Security,Risk Assessment,Authentication,Risk Management,UNIX,Network Engineering
3,f3,Systems Engineering,409083,,4,67,29,Business Systems Analyst,Senior Systems Engineer,Systems Analyst,Enterprise Architect,Information Technology Analyst,IT Infrastructure Library (ITIL) Certification,Project Management Certification,CompTIA Security+,Certified Information Systems Security Professional (CISSP),Cisco Certified Network Associate (CCNA),Systems Engineering,SQL,Project Management,Software Development,Business Process,Systems Analysis,Linux,Java,Information Systems,Oracle,Cryptography,Information Security,Information Assurance,Security Operations,Network Security,Risk Management,Threat Analysis,Intrusion Detection,Vulnerability Assessment,NIST Cybersecurity Framework
4,f4,Financial and Risk Analysis,374542,,0,71,29,Senior Financial Analyst,Audit Manager,Audit Associate,Portfolio Manager,Risk Manager,Certified Public Accountant (CPA),Certified Information Systems Auditor (CISA),Certified Internal Auditor (CIA),Certified Information Systems Security Professional (CISSP),Project Management Certification,Accounting,Financial Analysis,Budgeting,Risk Management,Financial Reporting,Internal Auditing,Project Management,Public Accounting,Financial Statements,Business Process,Information Security,Authentication,Information Systems,Network Security,Linux,Cryptography,UNIX,Information Assurance,Security Operations,Intrusion Detection
5,f5,Security Intelligence,21648,,8,67,25,Security Analyst,Security Administrator,Physical Security Specialist,Security Consultant,Security Operations Analyst,SANS/GIAC Certification (Various),CompTIA Security+,Certified Information Systems Security Professional (CISSP),GIAC Certified Intrusion Analyst,GIAC Certified Incident Handler (GCIH),Intelligence Analysis,Threat Analysis,Human Intelligence,Counter Intelligence,Signals Intelligence,Surveillance,Information Systems,Python,Intelligence Operations,Artificial Intelligence,Information Assurance,Information Security,Risk Assessment,Authentication,Network Security,Risk Management,Security Operations,Cryptography,Vulnerability Assessment,Security Operations
6,f6,IT Support,290418,,39,55,6,Help Desk Technician,Information Technology Technician,Desktop Support Technician,Desktop Support,Information Technology Support Specialist,IT Infrastructure Library (ITIL) Certification,CompTIA Network+,CompTIA Security+,Microsoft Certified Professional (MCP),,Technical Support,Help Desk Support,Repair,Printers,IT Support,Microsoft Active Directory,Hardware and Software Installation,Hardware Troubleshooting,Customer Contact,,Information Systems,Computer Forensics,Linux,Information Assurance,Vulnerability Assessment,Security Operations,UNIX,Intrusion Detection,Forensic Toolkit,
7,e1,Cybersecurity Specialist,9826,107000,11,64,25,Information Security Specialist,Security Specialist,Cyber Security Specialist,Information Technology Specialist,Operations Specialist,SANS/GIAC Certification (Various),CompTIA Security+,Information Systems Certification,IT Infrastructure Library (ITIL) Certification,,Information Security,Information Systems,Information Assurance,Network Security,Security Operations,Vulnerability assessment,Project Management,Linux,NIST Cybersecurity Framework,Intrusion detection,,,,,,,,,,
8,e2,Cyber Crime Analyst,1094,100000,3,59,38,Geek Squad Agent,Network Analyst,Information Security Analyst,Security Analyst,Security Engineer,EnCase Certified Examiner (EnCE),GIAC Certified Incident Handler (GCIH),GIAC Certified Forensic Analyst,Certified Information Privacy Professional (CIPP),GIAC Certified Forensic Examiner,Computer Forensics,Linux,Information Security,Consumer Electronics,Hard Drives,Information Systems,Forensic Toolkit,UNIX,Malware Engineering,Python,,,,,,,,,,
9,e3,Incident & Intrusion Analyst,9652,89034,7,71,22,Security Manager,Security Analyst,Information Security Analyst,Information Technology Specialist,Information Security Manager,GIAC Certified Incident Handler (GCIH),CompTIA Security+,IT Infrastructure Library (ITIL) Certification,IT Infrastructure Library (ITIL) Certification,,Information Security,Project Management,Information Systems,Linux,Network Security,Technical Support,Intrusion detection,UNIX,Security Operations,Computer Forensics,,,,,,,,,,
10,e4,IT Auditor,8579,111400,2,75,23,Information Technology Auditor,Information Technology Audit Manager,Internal IT Auditor,Information Technology Manager,Information Technology Consultant,Certified Information Systems Auditor (CISA),Information Systems Certification,CompTIA Security+,IT Infrastructure Library (ITIL) Certification,,Internal Auditing,Audit Planning,Information Systems,Sarbanes-Oxley (SOX),Accounting,Risk Assessment,Information Security,COBIT,Business Process,Project Management,,,,,,,,,,
11,m1,Cybersecurity Analyst,32974,109537,4,76,20,Security Analyst,Information Security Analyst,Information Technology Security Analyst,Security Operations Analyst,Compliance Analyst,Certified Information Systems Security Professional (CISSP),SANS/GIAC Certification (Various),Certified Information Systems Auditor (CISA),CompTIA Security+,Certified Information Security Manager (CISM),Information Security,Information Systems,Linux,Network Security,Threat Analysis,Security Operations,Vulnerability assessment,Project Management,Intrusion detection,NIST Cybersecurity Framework,,,,,,,,,,
12,m2,Cybersecurity Consultant,23746,92963,6,65,29,Security Specialist,Security Consultant,Security Engineer,Physical Security Specialist,Information Security Consultant,Certified Information Systems Security Professional (CISSP),Certified Information Systems Auditor (CISA),CompTIA Security+,SANS/GIAC Certification (Various),Information Systems Certification,Information Security,Surveillance,Information Systems,Oracle,Project Management,Asset Protection,Python,Prevention of Criminal Activity,Security Operations,Linux,,,,,,,,,,
13,m3,Penetration & Vulnerability Tester,27643,101446,2,70,28,Security Engineer,Security Analyst,Information Security Analyst,Systems Analyst,Security Consultant,SANS/GIAC Certification (Various),Certified Information Systems Auditor (CISA),CompTIA Security+,Certified Ethical Hacker (CEH),,Information Security,Penetration Testing,Linux,Python,Java,Vulnerability Assessment,Information Systems,Software Development,Project Management,Network Security,,,,,,,,,,
14,h1,Cybersecurity Manager,22783,138070,3,71,26,Security Manager,Information Systems Security Officer,Information Security Manager,Security Administrator,Information Security Officer,Certified Information Systems Security Professional (CISSP),Certified Information Security Manager (CISM),CompTIA Security+,Certified Information Systems Auditor (CISA),SANS/GIAC Certification (Various),Information Security,Information Systems,Project Management,Information Assurance,Linux,Network Security,NIST Cybersecurity Framework,Risk Management Framework,SAP,Vulnerability Assessment,,,,,,,,,,
15,h2,Cybersecurity Engineer,65039,114833,7,65,28,Security Engineer,Cyber Security Engineer,Information Security Engineer,Network Security Engineer,Systems Security Engineer,Certified Information Systems Security Professional (CISSP),SANS/GIAC Certification (Various),Certified Information Security Manager (CISM),CompTIA Security+,Certified Information Systems Auditor (CISA),Information Security,Network Security,Linux,Information Systems,Python,Cryptography,Project Management,Cisco,Authentication,Network Engineering,,,,,,,,,,
16,h3,Cybersecurity Architect,7229,163000,1,73,26,Security Architect,Solutions Architect,Information Security Architect,Security Engineer,Security Specialist,Certified Information Systems Security Professional (CISSP),Certified Information Security Manager (CISM),SANS/GIAC Certification (Various),Certified Information Systems Auditor (CISA),IT Infrastructure Library (ITIL) Certification,Information Security,Network Security,Cryptography,Information Systems,Authentication,Linux,Software Development,Cisco,NIST Cybersecurity Framework,Project Management,,,,,,,,,,